year	origin	destination
2018	23023970200	4013617400
2018	23023970500	4013618600
2018	23023970600	4013421101
2018	23023970200	4013061029
2018	23023970700	4013060801
2018	23023970600	4013116719
2018	23023970700	4013614000
2018	23023970700	6073014803
2018	23023970700	6073007100
2018	23023970301	6073009505
2018	23023970200	6073008350
2018	23023970302	6073016605
2018	23023970301	6073017020
2018	23023970302	6073009400
2018	23023970700	6073007002
2018	23023970301	6073021400
2018	23023970100	6073008511
2018	23023970500	6073006000
2018	23023970100	6073016401
2018	23023970302	6073000500
2018	23023970302	6073009201
2018	23023970301	6073018700
2018	23023970500	6073017056
2018	23023970500	6073008511
2018	23023970302	6073009400
2018	23023970500	6073003800
2018	23023970700	6073002703
2018	23023970302	6073020018
2018	23023970302	6073017044
2018	23023970302	6073009400
2018	23023970400	6073008343
2018	23023970200	6073008335
2018	23023970301	6073018700
2018	23023970302	6073003208
2018	23023970500	6073017037
2018	23023970302	6073017054
2018	23023970302	6073005100
2018	23023970500	6073022100
2018	23023970100	6073017107
2018	23023970302	6073008364
2018	23023970500	6073018700
2018	23023970200	6073003800
2018	23023970700	6073006500
2018	23023970302	6073002904
2018	23023970500	6073003003
2018	23023970500	6073018612
2018	23023970400	6073018700
2018	23023970400	6073002905
2018	23023970301	6073016000
2018	23023970400	6073006801
2018	23023970100	6073019905
2018	23023970302	6073009305
2018	23023970301	17031140602
2018	23023970200	17031818900
2018	23023970200	17031802503
2018	23023970500	17031630500
2018	23023970700	17031081100
2018	23023970400	17031804404
2018	23023970100	17031071500
2018	23023970500	17031803610
2018	23023970400	17031805202
2018	23023970700	17031823806
2018	23023970500	17031032100
2018	23023970700	17031823806
2018	23023970301	17031440101
2018	23023970500	17031060200
2018	23023970500	17031410800
2018	23023970301	17031826100
2018	23023970301	33011002800
2018	23023970301	33011012100
2018	23023970500	33011011102
2018	23023970301	33011015100
2018	23023970100	33011002100
2018	23023970302	33011000902
2018	23023970700	33011012200
2018	23023970100	33011010700
2018	23023970500	33011010600
2018	23023970200	33011012200
2018	23023970200	33011010200
2018	23023970302	33011001900
2018	23023970500	33011000902
2018	23023970302	33011000600
2018	23023970200	33011010200
2018	23023970302	33011011300
2018	23023970400	33011000102
2018	23023970100	33011002800
2018	23023970700	33011000102
2018	23023970301	33011010200
2018	23023970302	33011000203
2018	23023970500	33011002300
2018	23023970100	33011021500
2018	23023970301	33011002800
2018	23023970301	33011018000
2018	23023970100	33011011200
2018	23023970700	33011001900
2018	23023970301	33011001500
2018	23023970500	33011011102
2018	23023970500	33011002901
2018	23023970600	33011001400
2018	23023970500	33011010100
2018	23023970301	33011016202
2018	23023970700	33011016201
2018	23023970500	33011000902
2018	23023970500	33011011401
2018	23023970500	33011011102
2018	23023970500	33011002300
2018	23023970301	33011000300
2018	23023970500	33011010600
2018	23023970500	33011001600
2018	23023970500	33011010200
2018	23023970301	33011000901
2018	23023970301	33011015100
2018	23023970302	33011002800
2018	23023970100	33011010600
2018	23023970200	33011010302
2018	23023970301	51059482202
2018	23023970500	51059470500
2018	23023970500	51710000902
2018	23023970700	51710000902
2018	23023970100	51710000700
2018	23023970600	51710003100
2018	23023970301	51710004300
2018	23023970600	51710006604
2018	23023970700	51710002500
2018	23023970301	51710000902
2018	23023970500	51710000300
2018	23023970500	51710000201
2018	23023970302	51710000902
2018	23023970200	51710004002
2018	23023970301	51710004700
2018	23023970100	51710000901
2018	23023970500	51710000902
2018	23023970700	51710000901
2018	23023970301	51710002200
2018	23023970301	56021000501
2018	23023970200	56021002000
2018	23023970301	6065941400
2018	23023970400	6065044929
2018	23023970100	6065045125
2018	23023970301	6065044522
2018	23023970302	12071010701
2018	23023970700	12071050209
2018	23023970700	12071010602
2018	23023970400	12071000301
2018	23023970500	12071001101
2018	23023970200	12071060201
2018	23023970100	12071001501
2018	23023970500	12071040109
2018	23023970700	12071001201
2018	23023970400	12071050104
2018	23023970700	12071020600
2018	23023970500	12071020300
2018	23023970302	12071010404
2018	23023970500	12071040117
2018	23023970301	12071080300
2018	23023970100	12071010204
2018	23023970301	22079013500
2018	23023970600	23019006300
2018	23023970500	23019006300
2018	23023970200	23019006300
2018	23023970400	23019031100
2018	23023970500	23019000400
2018	23023970302	23019031100
2018	23023970500	23019013000
2018	23023970500	23019029000
2018	23023970500	23019031000
2018	23023970200	23019027000
