year	origin	destination
2018	4013613000	23031036002
2018	4013420602	23031038001
2018	4013071513	23031025100
2018	4013422638	23031024000
2018	4013092402	23031030201
2018	4013523103	23031025201
2018	4013082208	23031038001
2018	4013112505	23031030203
2018	4013109300	23031022500
2018	4013216807	23031036001
2018	4013216822	23031037000
2018	4013216844	23031006101
2018	4013104100	23031005300
2018	4013422606	23031025202
2018	4013422218	23031021000
2018	4013092307	23031030202
2018	4013616700	23031036002
2018	4013217204	23031006101
2018	4013810400	23031029000
2018	4013814400	23031030203
2018	4013810700	23031034002
2018	4013112509	23031006101
2018	4013319403	23031030100
2018	4013810300	23031027000
2018	4013104217	23031038001
2018	4013421302	23031025202
2018	4013420216	23031025201
2018	4013811900	23031022000
2018	4013112302	23031029000
2018	4013422606	23031025202
2018	4013422636	23031029000
2018	4013812200	23031005300
2018	4013614100	23031037000
2018	4013217102	23031025400
2018	4013216847	23031006102
2018	4013082024	23031038002
2018	4013613700	23031025202
2018	4013422606	23031024500
2018	4013111800	23031005400
2018	4013216845	23031037000
2018	4013112509	23031024500
2018	4013116205	23031025400
2018	4013107700	23031024000
2018	4013422103	23031006102
2018	4013817300	23031033000
2018	4013616400	23031034001
2018	4013116718	23031038001
2018	4013610600	23031038002
2018	4013318900	23031029000
2018	4013104000	23031031000
2018	4013092720	23031025100
2018	4013071505	23031024500
2018	4013115200	23031036002
2018	4013116300	23031030201
2018	4013217002	23031034002
2018	4013217400	23031005200
2018	4013422106	23031023500
2018	4013616500	23031030100
2018	4013421202	23031025202
2018	4013614900	23031025202
2018	4013103609	23031035000
2018	4013422513	23031036001
2018	4013420104	23031025202
2018	4013523003	23031030100
2018	4013061035	23031033000
2018	4013812000	23031030100
2018	4013522903	23031006102
2018	4013103900	23031037000
2018	4013082018	23031030202
2018	4013116708	23031024500
2018	4013421302	23031036002
2018	4013105400	23031028002
2018	4013816500	23031030201
2018	4013092306	23031025400
2018	4013103605	23031027000
2018	4013422621	23031030100
2018	4013103210	23031030202
2018	4013050607	23031030100
2018	4013103615	23031030202
2018	4013109603	23031030202
2018	4013319000	23031032000
2018	4013092309	23031028002
2018	4013092306	23031036001
2018	4013422640	23031006101
2018	4013105102	23031006102
2018	4013422402	23031030202
2018	4013618100	23031037000
2018	4013810700	23031030202
2018	4013105800	23031025202
2018	4013616800	23031025202
2018	4013420210	23031005300
2018	4013610300	23031036002
2018	4013217204	23031030100
2018	4013422305	23031024500
2018	4013110100	23031024000
2018	4013061026	23031030100
2018	4013421302	23031036002
2018	4013421400	23031024500
2018	4013104600	23031028001
2018	4013109300	23031025400
2018	4013071511	23031036002
2018	4013109603	23031024500
2018	4013116719	23031006102
2018	4013116704	23031038002
2018	4013116718	23031038001
2018	4013050701	23031030202
2018	4013114302	23031005400
2018	4013110100	23031038001
2018	4013104000	23031027000
2018	4013319104	23031038001
2018	4013320100	23031029000
2018	4013105200	23031023500
2018	4013319600	23031038001
2018	4013109003	23031036001
2018	4013106703	23031027000
2018	6037481711	23031038001
2018	6037461300	23031025202
2018	6037462302	23031038001
2018	6037461901	23031038001
2018	6037432000	23031029000
2018	6037500202	23031035000
2018	6037106642	23031025300
2018	6037408703	23031025100
2018	6037228410	23031025202
2018	6037143500	23031038001
2018	6073013419	23031024500
2018	6073007910	23031036001
2018	6073003404	23031038001
2018	6073017109	23031030201
2018	6073008344	23031024500
2018	6073003115	23031038001
2018	6073002904	23031037000
2018	6073009400	23031030100
2018	6073010111	23031025201
2018	6073002703	23031036002
2018	6073008365	23031024500
2018	6073016605	23031037000
2018	6073015301	23031025400
2018	6073013604	23031037000
2018	6073008901	23031030202
2018	6073020213	23031036002
2018	6073008329	23031023000
2018	6073018504	23031021000
2018	6073002401	23031030300
2018	6073012304	23031023500
